Year-Month,Average_achieved_hotel_room_rate_of_High_Tariff_A_Hotel(HKD),Average_achieved_hotel_room_rate_of_High_Tariff_B_Hotel(HKD),Average_achieved_hotel_room_rate_of_Medium_Tariff_Hotel(HKD)
201912,1922,752,486
202001,1879,700,457
202002,1843,619,430
202003,1675,602,436
202004,1536,586,425
202005,1627,556,406
202006,1647,580,408
202007,1596,593,422
202008,1557,577,431
202009,1464,588,434
202010,1495,606,448
202011,1481,608,436
202012,1560,668,495
202101,1466,614,454
202102,1508,639,464
202103,1427,606,452
202104,1479,618,468
202105,1391,596,454
202106,1366,609,456
202107,1425,629,477
202108,1413,665,511
202109,1373,656,499
202110,1460,658,524
202111,1424,655,499
202112,1730,752,546
202201,1541,703,552
202202,1535,760,645
202203,1622,823,759
202204,1729,834,721
202205,1671,807,722
202206,1769,839,667
202207,1748,864,686
202208,1765,942,756
202209,1794,910,721
202210,1688,790,592
202211,1680,781,556
202212,1826,838,578
202301,1801,792,553
202302,2005,889,592
202303,2401,1079,690
202304,2534,1251,812
202305,2311,1064,694
202306,2273,1019,678
202307,2296,1086,758
202308,2424,1160,849
202309,2383,1093,725
202310,2546,1233,820
202311,2494,1208,787
202312,2752,1325,860
202401,2458,1124,749
202402,2466,1195,813
202403,2303,1052,713
202404,2299,1155,748
202405,2260,972,669
202406,2143,901,596
202407,2037,936,633
202408,2044,973,675
202409,1979,924,606
202410,2211,1099,749
202411,2190,1119,755
